property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,accommodates,bedrooms,beds,number_of_reviews,bathrooms,amenities,price,security_deposit,cleaning_fee,extra_people,guests_included,weekly_price,monthly_price,reviews_per_month,coordinate1,coordinate2,coutry_code,coutry,availability_30,availability_60,availability_90,availability_365,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,review_scores_rating
House,Entire home/apt,Real Bed,2,1125,moderate,2,1,1,0,2,"['TV', 'Cable TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace']",250.0,400.0,150.0,0,0,600.0,3000.0,0,151.17956,-33.86296,AU,Australia,0,0,0,0,10.0,10.0,10.0,10.0,10.0,10.0,100.0
Hostel,Private room,Real Bed,1,1125,moderate,2,1,1,0,1,"['TV', 'Cable TV', 'Wifi', 'Family/kid friendly', 'Smoke detector', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Hot water', 'Long term stays allowed', 'Other']",40.0,0.0,50.0,25,25,230.0,600.0,0,-8.60867,41.1543,PT,Portugal,30,60,87,359,10.0,10.0,10.0,10.0,10.0,10.0,100.0
Serviced apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,4,2,4,3,1,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Wheelchair accessible', 'Kitchen', 'Paid parking off premises', 'Smoking allowed', 'Doorman', 'Elevator', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Suitable for events', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Safety card', 'Fire extinguisher', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Building staff', 'Crib', 'Hot water', 'Luggage dropoff allowed', 'Long term stays allowed']",838.0,0.0,0.0,0,0,600.0,3000.0,0,28.98713,41.04841,TR,Turkey,30,60,90,365,7.0,7.0,8.0,8.0,10.0,7.0,67.0
Serviced apartment,Entire home/apt,Real Bed,1,1125,moderate,6,2,5,0,2,"['TV', 'Internet', 'Wifi', 'Air conditioning', 'Wheelchair accessible', 'Kitchen', 'Paid parking off premises', 'Smoking allowed', 'Doorman', 'Elevator', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Suitable for events', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'Fire extinguisher', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Building staff', 'Hot water', 'Luggage dropoff allowed', 'Long term stays allowed']",997.0,0.0,0.0,0,0,600.0,3000.0,0,28.98818,41.04772,TR,Turkey,30,60,90,365,10.0,10.0,10.0,10.0,10.0,10.0,100.0
Apartment,Entire home/apt,Real Bed,1,1125,flexible,5,3,3,0,1,"['Cable TV', 'Wifi', 'Air conditioning', 'Wheelchair accessible', 'Kitchen', 'Free parking on premises', 'Doorman', 'Elevator', 'Buzzer/wireless intercom', 'Family/kid friendly', 'Washer', '24-hour check-in', 'Iron']",933.0,0.0,0.0,0,0,600.0,3000.0,0,-43.1825954762751,-22.930541460367934,BR,Brazil,30,60,90,365,10.0,10.0,10.0,10.0,10.0,10.0,100.0
Apartment,Entire home/apt,Real Bed,7,180,moderate,2,1,1,12,1,"['TV', 'Kitchen', 'Elevator', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Washer', 'First aid kit', 'Safety card', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'Bathtub', 'Beachfront']",40.0,250.0,15.0,0,0,600.0,3000.0,0,-8.75383,41.3596,PT,Portugal,0,0,0,46,10.0,10.0,10.0,10.0,9.0,10.0,96.0
Apartment,Entire home/apt,Real Bed,3,1125,flexible,3,1,1,0,1,"['TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Buzzer/wireless intercom', 'Family/kid friendly', 'Washer', 'Dryer', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace']",150.0,200.0,0.0,0,0,600.0,3000.0,0,-73.98944,40.72063,US,United States,0,0,0,0,10.0,10.0,10.0,10.0,10.0,10.0,100.0
Apartment,Entire home/apt,Real Bed,2,7,strict_14_with_grace_period,5,2,2,9,1,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Pets allowed', 'Pets live on this property', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Essentials', 'Shampoo', 'Hair dryer', 'Iron', 'Laptop friendly workspace']",275.0,0.0,35.0,0,0,600.0,3000.0,0,-73.95854,40.7664,US,United States,0,0,0,0,9.0,8.0,10.0,9.0,9.0,9.0,90.0
Bed and breakfast,Private room,Real Bed,1,1125,moderate,3,1,2,29,1,"['Internet', 'Wifi', 'Air conditioning', 'Free parking on premises', 'Smoking allowed', 'Heating', 'Family/kid friendly', 'Suitable for events', 'Washer', 'Dryer', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Building staff']",121.0,0.0,0.0,0,0,600.0,3000.0,0,28.98009,41.0062,TR,Turkey,30,60,90,365,9.0,9.0,10.0,10.0,10.0,9.0,92.0
Apartment,Private room,Real Bed,2,1125,strict_14_with_grace_period,2,1,1,123,1,"['Internet', 'Wifi', 'Air conditioning', 'Pets live on this property', 'Dog(s)', 'Other pet(s)', 'Elevator', 'Buzzer/wireless intercom', 'Heating', 'First aid kit', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Hot water', 'Bed linens', 'Host greets you']",46.0,0.0,15.0,10,10,600.0,3000.0,0,-73.88025,40.74953,US,United States,30,60,90,365,10.0,10.0,10.0,10.0,9.0,10.0,99.0
Apartment,Private room,Real Bed,1,10,strict_14_with_grace_period,2,1,1,239,1,"['Wifi', 'Kitchen', 'Free street parking', 'Heating', 'Family/kid friendly', 'Smoke detector', 'Carbon monoxide detector', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_50', 'Private entrance', 'Hot water', 'Host greets you']",45.0,0.0,0.0,10,10,600.0,3000.0,0,-73.82257,40.71485,US,United States,20,29,29,34,10.0,10.0,10.0,10.0,9.0,10.0,95.0
Apartment,Entire home/apt,Real Bed,2,1125,moderate,2,0,1,1,1,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Elevator', 'Buzzer/wireless intercom', 'Heating', 'Washer', 'Dryer', 'Essentials', 'Hair dryer', 'Iron', 'Laptop friendly workspace']",966.0,0.0,118.0,0,0,600.0,3000.0,0,114.15007,22.28422,HK,Hong Kong,0,0,0,0,10.0,10.0,10.0,10.0,10.0,10.0,100.0
Apartment,Entire home/apt,Real Bed,3,6,strict_14_with_grace_period,9,3,4,22,1,"['TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Paid parking off premises', 'Free street parking', 'Buzzer/wireless intercom', 'Heating', 'Smoke detector', 'Carbon monoxide detector', 'Essentials', 'Shampoo', '24-hour check-in', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Hot water', 'Microwave', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Single level home', 'Other']",180.0,199.0,59.0,19,19,600.0,3000.0,0,-73.93943,40.79805,US,United States,0,0,0,0,10.0,9.0,10.0,10.0,9.0,9.0,95.0
Apartment,Entire home/apt,Real Bed,5,1125,strict_14_with_grace_period,4,2,2,1,1,"['TV', 'Internet', 'Wifi', 'Air conditioning', 'Wheelchair accessible', 'Pool', 'Kitchen', 'Doorman', 'Gym', 'Elevator', 'Hot tub', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Essentials', '24-hour check-in', 'Hangers', 'Iron']",220.0,0.0,25.0,0,0,1400.0,3000.0,0,-73.93869,40.71552,US,United States,0,0,0,0,10.0,8.0,10.0,10.0,10.0,10.0,100.0
House,Private room,Real Bed,3,365,strict_14_with_grace_period,2,1,2,8,3,"['TV', 'Internet', 'Wifi', 'Kitchen', 'Smoking allowed', 'Doorman', 'Free street parking', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Safety card', 'Fire extinguisher', 'Essentials', 'Lock on bedroom door', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Keypad', 'Hot water']",64.0,0.0,30.0,0,0,500.0,2000.0,0,151.25541,-33.92398,AU,Australia,0,0,19,20,10.0,10.0,10.0,10.0,10.0,9.0,100.0
